dataset_id,column_name,role
Adler_2018_Expt1,Subj_idx,subj_idx
Adler_2018_Expt1,Stimulus,stimulus
Adler_2018_Expt1,Response,response
Adler_2018_Expt1,Confidence,confidence
Adler_2018_Expt1,RT_decConf,rt_combined
Adler_2018_Expt1,Task,condition
Adler_2018_Expt1,Difficulty,difficulty
Adler_2018_Expt1,Orientation,other
Adler_2018_Expt2,Subj_idx,subj_idx
Adler_2018_Expt2,Stimulus,stimulus
Adler_2018_Expt2,Response,response
Adler_2018_Expt2,Confidence,confidence
Adler_2018_Expt2,RT_dec,rt_decision
Adler_2018_Expt2,RT_conf,rt_confidence
Adler_2018_Expt2,Task,condition
Adler_2018_Expt2,Difficulty,difficulty
Adler_2018_Expt2,Orientation,other
Adler_2018_Expt3,Subj_idx,subj_idx
Adler_2018_Expt3,Stimulus,stimulus
Adler_2018_Expt3,Response,response
Adler_2018_Expt3,Confidence,confidence
Adler_2018_Expt3,RT_decConf,rt_combined
Adler_2018_Expt3,Difficulty,difficulty
Adler_2018_Expt3,Orientation,other
AguilarLleyda_2018,Subj_idx,subj_idx
AguilarLleyda_2018,Stimulus_col,stimulus
AguilarLleyda_2018,Stimulus_let,stimulus
AguilarLleyda_2018,Response_col,response
AguilarLleyda_2018,Response_let,response
AguilarLleyda_2018,Accuracy_col,accuracy
AguilarLleyda_2018,Accuracy_let,accuracy
AguilarLleyda_2018,Confidence_col,confidence
AguilarLleyda_2018,Confidence_let,confidence
AguilarLleyda_2018,RT_firstchoice,rt_decision
AguilarLleyda_2018,RT_secondchoice,rt_decision
AguilarLleyda_2018,RT_confidence_col,rt_confidence
AguilarLleyda_2018,RT_confidence_let,rt_confidence
AguilarLleyda_2018,Difficulty_col,difficulty
AguilarLleyda_2018,Difficulty_let,difficulty
AguilarLleyda_2018,Run,trial_info
AguilarLleyda_2018,Block,trial_info
AguilarLleyda_2018,Trial,trial_info
AguilarLleyda_2018,Number_blues,other
AguilarLleyda_2018,Number_os,other
AguilarLleyda_2018,Firstchoice,other
AguilarLleyda_2018,Location_firstchoice,other
AguilarLleyda_2018,Location_secondchoice,other
AguilarLleyda_unpub,Subj_idx,subj_idx
AguilarLleyda_unpub,Stimulus_col,stimulus
AguilarLleyda_unpub,Stimulus_let,stimulus
AguilarLleyda_unpub,Response_col,response
AguilarLleyda_unpub,Response_let,response
AguilarLleyda_unpub,Accuracy_col,accuracy
AguilarLleyda_unpub,Accuracy_let,accuracy
AguilarLleyda_unpub,Confidence_col,confidence
AguilarLleyda_unpub,Confidence_let,confidence
AguilarLleyda_unpub,RT_dec_col,rt_decision
AguilarLleyda_unpub,RT_dec_let,rt_decision
AguilarLleyda_unpub,RT_confidence_col,rt_confidence
AguilarLleyda_unpub,RT_confidence_let,rt_confidence
AguilarLleyda_unpub,Taskorder,condition
AguilarLleyda_unpub,Difficulty_col,difficulty
AguilarLleyda_unpub,Difficulty_let,difficulty
AguilarLleyda_unpub,Run,trial_info
AguilarLleyda_unpub,Block,trial_info
AguilarLleyda_unpub,Trial,trial_info
AguilarLleyda_unpub,Number_blues,other
AguilarLleyda_unpub,Number_os,other
AguilarLleyda_unpub,Locationchoice_col,other
AguilarLleyda_unpub,Locationchoice_let,other
AguilarLleyda_unpub,Initposconf_col,other
AguilarLleyda_unpub,Initposconf_let,other
Akdogan_2017_Exp1,Subj_idx,subj_idx
Akdogan_2017_Exp1,Stimulus,stimulus
Akdogan_2017_Exp1,Response,response
Akdogan_2017_Exp1,Confidence,confidence
Akdogan_2017_Exp1,RT_conf,rt_confidence
Akdogan_2017_Exp1,RT_start,rt_other
Akdogan_2017_Exp1,RT_error,rt_other
Akdogan_2017_Exp1,Block,trial_info
Akdogan_2017_Exp1,Trial_in_block,trial_info
Akdogan_2017_Exp1,Trial,trial_info
Akdogan_2017_Exp1,ErrorDirection,other
Akdogan_2017_Exp2,Subj_idx,subj_idx
Akdogan_2017_Exp2,Stimulus,stimulus
Akdogan_2017_Exp2,Response,response
Akdogan_2017_Exp2,Confidence,confidence
Akdogan_2017_Exp2,RT_conf,rt_confidence
Akdogan_2017_Exp2,RT_start,rt_other
Akdogan_2017_Exp2,RT_error,rt_other
Akdogan_2017_Exp2,Block,trial_info
Akdogan_2017_Exp2,Trial_in_block,trial_info
Akdogan_2017_Exp2,Trial,trial_info
Akdogan_2017_Exp2,ErrorDirection,other
Akdogan_2017_Exp3,Subj_idx,subj_idx
Akdogan_2017_Exp3,Stimulus,stimulus
Akdogan_2017_Exp3,Response,response
Akdogan_2017_Exp3,Confidence,confidence
Akdogan_2017_Exp3,RT_conf,rt_confidence
Akdogan_2017_Exp3,RT_start,rt_other
Akdogan_2017_Exp3,RT_error,rt_other
Akdogan_2017_Exp3,Block,trial_info
Akdogan_2017_Exp3,Trial_in_block,trial_info
Akdogan_2017_Exp3,Trial,trial_info
Akdogan_2017_Exp3,ErrorDirection,other
Akdogan_2017_Exp4,Subj_idx,subj_idx
Akdogan_2017_Exp4,Stimulus,stimulus
Akdogan_2017_Exp4,Response,response
Akdogan_2017_Exp4,Confidence,confidence
Akdogan_2017_Exp4,RT_conf,rt_confidence
Akdogan_2017_Exp4,RT_start,rt_other
Akdogan_2017_Exp4,RT_error,rt_other
Akdogan_2017_Exp4,Block,trial_info
Akdogan_2017_Exp4,Trial,trial_info
Akdogan_2017_Exp4,ErrorDirection,other
Arbuzova_2021_expt2,Subj_idx,subj_idx
Arbuzova_2021_expt2,Stimulus,stimulus
Arbuzova_2021_expt2,Response,response
Arbuzova_2021_expt2,Confidence,confidence
Arbuzova_2021_expt2,RT_dec,rt_decision
Arbuzova_2021_expt2,RT_conf,rt_confidence
Arbuzova_2021_expt2,Condition,condition
Arbuzova_2021_expt2,Task,condition
Arbuzova_2021_expt2,Difference,other
Arbuzova_2021_expt1,Subj_idx,subj_idx
Arbuzova_2021_expt1,Stimulus,stimulus
Arbuzova_2021_expt1,Response,response
Arbuzova_2021_expt1,Confidence,confidence
Arbuzova_2021_expt1,RT_dec,rt_decision
Arbuzova_2021_expt1,RT_conf,rt_confidence
Arbuzova_2021_expt1,Condition,condition
Arbuzova_2021_expt1,Difference,other
Arbuzova_unpub_3,Subj_idx,subj_idx
Arbuzova_unpub_3,Stimulus,stimulus
Arbuzova_unpub_3,Response,response
Arbuzova_unpub_3,Confidence,confidence
Arbuzova_unpub_3,RT_dec,rt_decision
Arbuzova_unpub_3,RT_conf,rt_confidence
Arbuzova_unpub_3,Task,condition
Arbuzova_unpub_3,Difficulty,difficulty
Bang_2019_Exp1,Subj_idx,subj_idx
Bang_2019_Exp1,Stimulus,stimulus
Bang_2019_Exp1,Response,response
Bang_2019_Exp1,Accuracy,accuracy
Bang_2019_Exp1,Confidence,confidence
Bang_2019_Exp1,RT_dec,rt_decision
Bang_2019_Exp1,RT_conf,rt_confidence
Bang_2019_Exp1,Condition,condition
Bang_2019_Exp1,Block,trial_info
Bang_2019_Exp1,SN,other
Bang_2019_Exp1,Day,other
Bang_2019_Exp2,Subj_idx,subj_idx
Bang_2019_Exp2,Stimulus,stimulus
Bang_2019_Exp2,Response,response
Bang_2019_Exp2,Confidence,confidence
Bang_2019_Exp2,RT_dec,rt_decision
Bang_2019_Exp2,RT_conf,rt_confidence
Bang_2019_Exp2,ContrastOrTilt,rt_other
Bang_2019_Exp2,Task,condition
Bang_2019_Exp2,Catch_trial,other
data_Bocheva_unpub_Expt1,Subj_idx,subj_idx
data_Bocheva_unpub_Expt1,Stimulus,stimulus
data_Bocheva_unpub_Expt1,Response,response
data_Bocheva_unpub_Expt1,Accuracy,accuracy
data_Bocheva_unpub_Expt1,Confidence,confidence
data_Bocheva_unpub_Expt1,RT_dec,rt_decision
data_Bocheva_unpub_Expt1,RT_conf,rt_confidence
data_Bocheva_unpub_Expt1,Condition,condition
data_Bocheva_unpub_Expt1,Contrast,difficulty
data_Bocheva_unpub_Expt2,Subj_idx,subj_idx
data_Bocheva_unpub_Expt2,Stimulus,stimulus
data_Bocheva_unpub_Expt2,Response,response
data_Bocheva_unpub_Expt2,Accuracy,accuracy
data_Bocheva_unpub_Expt2,Confidence,confidence
data_Bocheva_unpub_Expt2,RT_dec,rt_decision
data_Bocheva_unpub_Expt2,RT_conf,rt_confidence
data_Bocheva_unpub_Expt2,Condition,condition
data_Bocheva_unpub_Expt2,Contrast,difficulty
CalderTravis_unpub,Subj_idx,subj_idx
CalderTravis_unpub,Stimulus,stimulus
CalderTravis_unpub,Response,response
CalderTravis_unpub,Confidence,confidence
CalderTravis_unpub,RT_dec,rt_decision
CalderTravis_unpub,Condition,condition
CalderTravis_unpub,Dot_diff,other
CalderTravis_unpub,Stim_duration,other
CalderTravis_unpub,Stim_ref,other
Chandravadia_2020,Subj_idx,subj_idx
Chandravadia_2020,Stimulus,stimulus
Chandravadia_2020,Response,response
Chandravadia_2020,Response_Raw,response
Chandravadia_2020,Accuracy,accuracy
Chandravadia_2020,Confidence,confidence
Chandravadia_2020,RT_decConf,rt_combined
Chandravadia_2020,Category,other
Chandravadia_2020,Variant,other
Chandravadia_2020,patientNumber,other
Chandravadia_2020,ptDiagnosis,other
Chandravadia_2020,age,other
Chandravadia_2020,sex,other
Charalampaki_unpub_1,Subj_idx,subj_idx
Charalampaki_unpub_1,Stimulus,stimulus
Charalampaki_unpub_1,Response,response
Charalampaki_unpub_1,Confidence,confidence
Charalampaki_unpub_1,RT_dec,rt_decision
Charalampaki_unpub_1,RT_conf,rt_confidence
Charalampaki_unpub_1,Condition,condition
Charalampaki_unpub_1,Difficulty,difficulty
Chetverikov_2014_exp3,Subj_idx,subj_idx
Chetverikov_2014_exp3,Stimulus,stimulus
Chetverikov_2014_exp3,Response,response
Chetverikov_2014_exp3,Accuracy,accuracy
Chetverikov_2014_exp3,Confidence,confidence
Chetverikov_2014_exp3,RT_dec,rt_decision
Chetverikov_2014_exp3,RT_conf,rt_confidence
Chetverikov_2014_exp3,RT_liking,rt_other
Chetverikov_2014_exp3,Condition,condition
Chetverikov_2014_exp3,Difficulty,difficulty
Chetverikov_2014_exp3,ImgID,other
Chetverikov_2014_exp3,Liking,other
Chetverikov_2014_exp3,SbjAge,other
Chetverikov_2014_exp3,SbjSex,other
Chetverikov_2014_exp4,Subj_idx,subj_idx
Chetverikov_2014_exp4,Stimulus,stimulus
Chetverikov_2014_exp4,Response,response
Chetverikov_2014_exp4,Accuracy,accuracy
Chetverikov_2014_exp4,Confidence,confidence
Chetverikov_2014_exp4,RT_dec,rt_decision
Chetverikov_2014_exp4,RT_conf,rt_confidence
Chetverikov_2014_exp4,RT_liking,rt_other
Chetverikov_2014_exp4,Condition,condition
Chetverikov_2014_exp4,Difficulty,difficulty
Chetverikov_2014_exp4,ImgID,other
Chetverikov_2014_exp4,Liking,other
Chetverikov_2014_exp4,ImgEmo,other
Chetverikov_2014_exp4,SbjAge,other
Chetverikov_2014_exp4,SbjSex,other
Clark_2018,Subj_idx,subj_idx
Clark_2018,Stimulus,stimulus
Clark_2018,Stimulus Peak Velocity (deg/s),stimulus
Clark_2018,Response,response
Clark_2018,Accuracy,accuracy
Clark_2018,Confidence,confidence
Clark_2018,Task,condition
